id;nome;destaque;descricao;imagem;;;;;;;;;;;;;;
34;Dapper;false;Dapper é um mapeador relacional de objetos. Ele mapeia objetos . NET a partir de seu aplicativo para um banco de dados relacional (e vice-versa).;https://api.nuget.org/v3-flatcontainer/dapper.entityframework.strongname/2.1.66/icon;;;;;;;;./icons/;Dapper;/;Dapper;-;original.svg;./icons/Dapper/Dapper-original.svg
35;Styled Components;false;tyled Components é utilizado para a estilização dos componentes.;https://corevaluetech.com/assets/illustrations/styled-component.webp;;;;;;;;./icons/;Styled Components;/;Styled Components;-;original.svg;./icons/Styled Components/Styled Components-original.svg
36;React Bootstrap;false;O React-Bootstrap substitui o Bootstrap JavaScript. Cada componente foi criado do zero como um verdadeiro componente React sem dependências desnecessárias como o jQuery.;https://avatars.githubusercontent.com/u/6853419?s=200&v=4;;;;;;;;./icons/;React Bootstrap;/;React Bootstrap;-;original.svg;./icons/React Bootstrap/React Bootstrap-original.svg
37;SQLAlchemy;false;SQLAlchemy é uma biblioteca Python que permite a interação com bancos de dados SQL.;https://camo.githubusercontent.com/6660713abc1096f86691aa19d73e04d22a2ae4a60d9348271c0a3aafe8c8d482/68747470733a2f2f6873746f2e6f72672f67657470726f2f686162722f706f73745f696d616765732f3434622f6432632f6339382f34346264326363393866326361366535643638396632316337373263653536652e706e67;;;;;;;;./icons/;SQLAlchemy;/;SQLAlchemy;-;original.svg;./icons/SQLAlchemy/SQLAlchemy-original.svg
38;Pandas;false;Pandas é uma biblioteca de código aberto para a linguagem Python que permite manipular e analisar dados. É uma das bibliotecas mais populares para análise de dados em Python. ;https://4008838.fs1.hubspotusercontent-na1.net/hubfs/4008838/pandas-logo.png;;;;;;;;./icons/;Pandas;/;Pandas;-;original.svg;./icons/Pandas/Pandas-original.svg
39;Nuxt 3;false;Crie aplicativos web de alta qualidade com o Nuxt o framework de código aberto que torna o desenvolvimento full-stack com Vue.js intuitivo.;https://github.com/IgorBarcelo/controle-financeiro/blob/main/public/nuxt.png;;;;;;;;./icons/;Nuxt 3;/;Nuxt 3;-;original.svg;./icons/Nuxt 3/Nuxt 3-original.svg
40;.NET;true;.NET é uma estrutura gratuita de código aberto e multiplataforma para criar aplicativos modernos e serviços de nuvem poderosos.;https://images.seeklogo.com/logo-png/27/1/net-logo-png_seeklogo-273162.png;;;;;;;;./icons/;.NET;/;.NET;-;original.svg;./icons/.NET/.NET-original.svg
41;Jest;false;Jest é um poderoso Framework de Testes em JavaScript com um foco na simplicidade. Funciona com projetos usando: Babel, TypeScript;https://github.com/IgorBarcelo/react-ecommerce/blob/main/public/jest.png;;;;;;;;./icons/;Jest;/;Jest;-;original.svg;./icons/Jest/Jest-original.svg
42;Flask;false;Flask é um framework Python que permite criar aplicações web,  APIs e microsserviços. É conhecido por ser simples.;https://miro.medium.com/v2/resize:fit:640/format:webp/1*dQvABiWzbE28OTPYjzElKw.png;;;;;;;;./icons/;Flask;/;Flask;-;original.svg;./icons/Flask/Flask-original.svg
43;SQLite;false;SQLite é uma biblioteca em linguagem C que implementa um mecanismo de banco de dados SQL pequeno e rápido.;https://logospng.org/wp-content/uploads/sqlite.png;;;;;;;;./icons/;SQLite;/;SQLite;-;original.svg;./icons/SQLite/SQLite-original.svg
44;Beautiful Soup;false;Beautiful Soup é uma biblioteca que facilita a extração de informações de páginas da web. Ela fica sobre um analisador HTML ou XML fornecendo linguagens Python para iterar.;https://miro.medium.com/v2/resize:fit:1100/format:webp/0*oN9jA-Ad3mRlPAYy.png;;;;;;;;./icons/;Beautiful Soup;/;Beautiful Soup;-;original.svg;./icons/Beautiful Soup/Beautiful Soup-original.svg
45;Axios;false;Axios é um cliente HTTP simples baseado em promessas para navegador e node.js. O Axios oferece uma biblioteca simples de usar em um pacote pequeno com uma interface bastante extensível.;https://axios-http.com/assets/logo.svg;;;;;;;;./icons/;Axios;/;Axios;-;original.svg;./icons/Axios/Axios-original.svg
46;Requests;false;A biblioteca Requests do Python é uma ferramenta que simplifica a interação com a web e o envio de requisições HTTP;https://upload.wikimedia.org/wikipedia/commons/a/aa/Requests_Python_Logo.png;;;;;;;;./icons/;Requests;/;Requests;-;original.svg;./icons/Requests/Requests-original.svg
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;];[;"""";,;;"[""./icons/HTML5/HTML5-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/html.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/CSS/CSS-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/css.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/JavaScript/JavaScript-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/javascript.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/TypeScript/TypeScript-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/typescript.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Node.js/Node.js-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/node.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Java/Java-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/java.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Python/Python-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/python.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/NestJS/NestJS-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/nest.svg""]";;;;;;;;
;;;;;];[;"""";,;;"[""./icons/Express.js/Express.js-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/express.svg""]";;;;;;;;
